question,persona_a,persona_b,cosine_sim,rouge_l_f1,gpt_score_0_100
Lately I’ve been feeling more fatigued than usual before my period — could this be linked to my hormonal rhythm or sleep cycle?,Profile1,Profile2,0.5619713616810854,0.26521739130434785,85.0
Lately I’ve been feeling more fatigued than usual before my period — could this be linked to my hormonal rhythm or sleep cycle?,Profile1,Profile3,0.6282325640555184,0.3724696356275303,85.0
Lately I’ve been feeling more fatigued than usual before my period — could this be linked to my hormonal rhythm or sleep cycle?,Profile2,Profile3,0.5565564993389498,0.2680851063829787,85.0
"I’ve noticed my deep sleep minutes are dropping — what could be causing that, and how can I improve it?",Profile1,Profile2,0.6874819661845579,0.4394250513347022,85.0
"I’ve noticed my deep sleep minutes are dropping — what could be causing that, and how can I improve it?",Profile1,Profile3,0.6547491484106678,0.3687150837988827,85.0
"I’ve noticed my deep sleep minutes are dropping — what could be causing that, and how can I improve it?",Profile2,Profile3,0.6299280109391429,0.3969465648854962,85.0
My temperature doesn’t seem to rise much after ovulation — does that mean my luteal phase isn’t normal?,Profile1,Profile2,0.5221158955038445,0.2608695652173913,75.0
My temperature doesn’t seem to rise much after ovulation — does that mean my luteal phase isn’t normal?,Profile1,Profile3,0.5939692945815378,0.30434782608695654,85.0
My temperature doesn’t seem to rise much after ovulation — does that mean my luteal phase isn’t normal?,Profile2,Profile3,0.5036105210927646,0.2965299684542587,85.0
"I walk around 6,000–7,000 steps daily, but still feel tired — is that enough activity for stable mood and energy levels?",Profile1,Profile2,0.5004860949838946,0.26108374384236455,85.0
"I walk around 6,000–7,000 steps daily, but still feel tired — is that enough activity for stable mood and energy levels?",Profile1,Profile3,0.4845882223190906,0.28314606741573034,85.0
"I walk around 6,000–7,000 steps daily, but still feel tired — is that enough activity for stable mood and energy levels?",Profile2,Profile3,0.5291926615643863,0.23024830699774265,85.0
I’ve been experiencing mood swings lately — can my HRV or sleep data help me understand why?,Profile1,Profile2,0.5573766443495891,0.21978021978021978,65.0
I’ve been experiencing mood swings lately — can my HRV or sleep data help me understand why?,Profile1,Profile3,0.5597853758941462,0.27331887201735355,75.0
I’ve been experiencing mood swings lately — can my HRV or sleep data help me understand why?,Profile2,Profile3,0.527643840126304,0.27135678391959794,85.0
